Startup,Type,Intro,Fondateurs,Description,Site,Lien Utile,Info
,,,,,,,
TIIME,Services aux entreprises - Productivité,L'outil indispensable aux entrepreneurs d'aujourd'hui.,['Maxime  Digue'],"['Tiime permet aux entrepreneurs de créer leur entreprise et de simplifier leur comptabilité grâce à des applications mobiles gratuites ultra-intuitives.', 'L’expérience utilisateur proposée par Tiime est inédite, notamment grâce à l’usage avancé de l’Intelligence Artificielle qui permet d’automatiser un maximum de tâches administratives fastidieuses.', 'Tiime a déjà conquis plus de 15 000 entreprises en France.', 'Tiime recherche des personnes impliquées qui souhaitent s’épanouir au sein d’une équipe responsable dans un environnement flexible, bienveillant, et challengeant. Chez Tiime, les collaborateurs sont soudés autour d’un projet à la vision enthousiasmante.', '', 'Ajoutée le : 24 septembre 2019']",tiime.fr,['https://www.linkedin.com/company/tiime-app/'],Société par action simplifiées
MYTIP,Finance - Financement,Le tip en 2 clics accessible à tous,['Maxime DUTRES '],"['Connecte financièrement les créateurs de contenu à leur communauté de façon innovante.', ""MyTip permet aux créateurs de contenu sur Internet d'obtenir un soutien financier de la part de leur communauté."", 'Les créateurs viennent de tous les horizons : YouTubeurs, streamers, gamers, photographes, musiciens, etc.', ""L'application mobile permet à chaque internaute de soutenir un créateur de contenu en 2 clics, soit de façon gratuite en répondant à un sondage,\nsoit en déposant l'argent sur le compte MyTip et en effecutant des dons (à partir de 0.10€)."", '', 'Ajoutée le : 24 septembre 2019']",mytip.co,['https://www.linkedin.com/company/mytip'],Société par action simplifiées
INCEPTO,"Santé, Biotech, Chimie - Health Tech",Solution d’imagerie médicale basée sur l’intelligence artificielle,['Antoine JOMIER '],"['Nous co-créons avec des centres médicaux des applications IA dédiées à la\xa0radiologie.', ""Les professionnels de santé sont maintenant submergés par le volume de patients et d'images, ils ont besoin de nouveaux outils."", ""En tant que garanties de notre système de soins de santé, elles doivent être responsabilisées et participer au processus de production de l'IA."", ""C'est notre mission à travers nos projets de co-création."", '', 'Ajoutée le : 24 septembre 2019']",incepto-medical.com,['https://www.linkedin.com/company/inceptomedical'],Société par action simplifiées
HOPLUNCH,"Restauration, Cuisine, Alimentation - Services",Votre restaurant d'entreprise connecté à Schiltigheim et Strasbourg,['Matthieu DIEBOLD '],"['Vous en avez assez des files d’attente le midi ?\xa0Pas le temps de déjeuner convenablement et sainement ?\xa0', ""Nous avons la solution pour vous : votre nouveau restaurant d'entreprise connecté débarque sur votre lieu de travail !\xa0"", ""Une nouvelle start-up strasbourgeoise répondant au doux nom de HopLunch a fait sa rentrée à l'Espace Européen de l'Entreprise à Schiltigheim.\xa0"", 'Désormais vous pouvez commander votre repas depuis votre poste de travail et éviter le froid, la pluie, la file d’attente, les embouteillages, les accidents… et en profiter pour finaliser votre dossier, faire un peu de sport ou préparer vos vacances…\xa0', 'HopLunch s’occupe de tout concernant votre déjeuner !\xa0\n\xa0\nMais qu’est-ce qu’elle propose exactement...?', 'HopLunch vous permet de commander en ligne les plats du jour fraichement cuisinés par ses partenaires, et d’être livré directement sur votre lieu de travail sans frais additionnels de livraison ni seuil minimum de commande.', '', 'Ajoutée le : 24 septembre 2019']",hoplunch.com,['https://www.linkedin.com/company/hoplunch/about/'],Société par action simplifiées
PRIXPNEUS.FR,Services aux particuliers - Aide à l'achat,Comparateur de prix de pneus,['Magnan Davide'],"['PrixPneus.fr est le nouveau comparateur de prix de pneus.', 'Il a été conçu dans le but de faciliter la vie de millions d’utilisateurs qui achètent des pneus en ligne.', 'En tant que plateforme de référence, PrixPneusfr indexe et compare plus de 200.000 offres de pneus de plus de 10 entreprises de commerce en ligne françaises.', 'Propose un catalogue de plus de 270 marques, à commencer par les plus célèbres marques telles que Bridgestone, Continental, Dunlop, Goodyear, Michelin, Pirelli, Yokohama et bien d’autres.', '', 'Ajoutée le : 24 septembre 2019']",prixpneus.fr/,['https://www.linkedin.com/company/hoplunch/about/'],PRIXPNEUS.FR
SCOOTYPARK,Electronique & Composants - Batteries,Borne connectée de trottinette électrique,"['Timothée DE RIVET ', 'Gabriel MALHERBE ']","['ScootyPark propose des bornes connectées et autonomes de location de trottinettes électriques.', 'La première solution complète de stockage, rechargement, location et emprunt de trottinette électrique véritablement connectée', 'Un service client et un SAV ultra réactif qui vous accompagne tout au long de notre partenariat', 'Améliorez immédiatement le quotidien de vos salariés ou de vos clients grâce à nos différents services', '', 'Ajoutée le : 24 septembre 2019']",scootypark.com,['https://www.linkedin.com/company/scootypark/'],Société par action simplifiées
TRANSWAY,"Cleantech, Energie",Éditeur de solutions intelligentes pour une ville plus propre,['Nicolas TRONCHON '],"['TransWay édite des solutions pour aider à la création des villes intelligentes. Destinés aux réseaux de transport, collectivités, et entreprises, les services de TransWay améliorent la qualité des services urbains tout en réduisant leur coût.\xa0', 'Nos services permettent notamment une exploitation statistique des données issues de nos propres outils, ainsi que des services externes (billettiques, téléphonie mobile, GPS...).\xa0', 'TransWay assure également une assistance dans le domaine de la mobilité et des technologies associées aux transports de personnes.', 'GoToo est une communauté de déplacements et de mise en relation qui récompense les bonnes pratiques en matière de mobilité. Le service est vendu aux entreprises (version Pro), aux villes (version City) et aux réseaux de transports (version Contact).', '| www.feelway.fr : la solution qui transporte vos enfants,\nLa première solution logicielle participative pour faciliter la mise en œuvre des bus pédestres, du Velobus et du co-voiturage Scolaire et extra-scolaire.', '', 'Ajoutée le : 23 septembre 2019']",transway.fr/,['https://www.linkedin.com/company/transway_2/'],Société par action simplifiées
CASHBEE,"Finance - Banque, Assurance",Epargnez plus et mieux,"['Chaker  Nakhli', 'Marc  Tempelman']","['À tous ceux qui pensent que la gestion des finances est une préoccupation. À ceux qui souhaitent faire plus, dans leur vie, et avec leur argent. À ceux qui exigent d’avoir le choix. À ceux qui veulent prendre les bonnes décisions.', 'Cashbee remet l’argent qui dort à votre service.', '1. Une meilleure compréhension de vos finances personnelles: identifier l’argent qui dort et éviter les frais bancaires.', '2. Un moyen simple et efficace de mettre de l’argent de côté, sur un compte d’épargne sécurisé, rémunéré et toujours disponible.', 'Il ne faut pas grand chose. Du bon sens, un peu de savoir faire, et une application.', '', 'Ajoutée le : 23 septembre 2019']",cashbee.fr,['https://www.linkedin.com/company/cashbee/'],Société par action simplifiées
DANITIS,"Emploi, Job",Spécialiste du recrutement et de l’outsourcing dans le secteur de la Distribution IT en France,['Jean-Charles DISTAIN'],"['Nos candidats sont le coeur de notre métier et c’est pourquoi nous défendons une approche avant-gardiste du recrutement et de la gestion des talents.', 'Danitis recrute tous les jours des collaborateurs d’exception dans les domaines commerciaux, marketing, techniques, achats et supports afin de servir les leaders du secteur IT en France et en Europe.', '', 'Ajoutée le : 23 septembre 2019']",danitis.com/,['https://www.linkedin.com/company/danitis/'],SARL
